,year_make,model_trim,price,state,miles,source,type
347,2021 BMW ,missing,47449,missing,16.0,sonic,sedan
348,2021 BMW ,missing,45121,missing,17.0,sonic,sedan
349,2021 BMW ,missing,47394,missing,738.0,sonic,sedan
350,2021 BMW ,missing,46190,missing,45.0,sonic,sedan
351,2021 BMW ,missing,43992,missing,2076.0,sonic,sedan
352,2021 BMW ,missing,43482,missing,7.0,sonic,sedan
353,2021 BMW ,missing,47663,missing,8.0,sonic,sedan
354,2021 BMW ,missing,43971,missing,14.0,sonic,sedan
355,2021 BMW ,missing,43040,missing,2100.0,sonic,sedan
356,2021 BMW ,missing,45531,missing,8.0,sonic,sedan
357,2021 BMW ,missing,44330,missing,2100.0,sonic,sedan
358,2021 BMW ,missing,44330,missing,2100.0,sonic,sedan
359,2021 BMW ,missing,45840,missing,8.0,sonic,sedan
360,2021 BMW ,missing,41400,missing,2100.0,sonic,sedan
361,2021 BMW ,missing,46364,missing,7102.0,sonic,sedan
362,2021 BMW ,missing,45414,missing,6917.0,sonic,sedan
363,2021 BMW ,missing,48340,missing,1010.0,sonic,sedan
364,2021 BMW ,missing,42986,missing,4973.0,sonic,sedan
365,2021 BMW ,missing,43299,missing,8873.0,sonic,sedan
366,2021 BMW ,missing,45711,missing,20.0,sonic,sedan
367,2021 BMW ,missing,43740,missing,2100.0,sonic,sedan
368,2021 BMW ,missing,45104,missing,4467.0,sonic,sedan
369,2021 BMW ,missing,44619,missing,6550.0,sonic,sedan
370,2021 BMW ,missing,45219,missing,3985.0,sonic,sedan
371,2021 BMW ,missing,45386,missing,4798.0,sonic,sedan
372,2021 BMW ,missing,40986,missing,5297.0,sonic,sedan
373,2021 BMW ,missing,42241,missing,4900.0,sonic,sedan
374,2021 BMW ,missing,40811,missing,1270.0,sonic,sedan
375,2021 BMW ,missing,44521,missing,16.0,sonic,sedan
376,2021 BMW ,missing,44921,missing,12.0,sonic,sedan
377,2021 BMW ,missing,47270,missing,2100.0,sonic,sedan
378,2021 BMW ,missing,48519,missing,8.0,sonic,sedan
379,2021 BMW ,missing,47919,missing,14.0,sonic,sedan
380,2021 BMW ,missing,47969,missing,16.0,sonic,sedan
381,2021 BMW ,missing,47330,missing,2100.0,sonic,sedan
382,2021 BMW ,missing,49430,missing,8.0,sonic,sedan
383,2021 BMW ,missing,42831,missing,8.0,sonic,sedan
384,2021 BMW ,missing,43290,missing,2100.0,sonic,sedan
385,2021 BMW ,missing,46130,missing,2100.0,sonic,sedan
386,2021 BMW ,missing,47330,missing,13.0,sonic,sedan
387,2021 BMW ,missing,45020,missing,9.0,sonic,sedan
388,2021 BMW ,missing,44210,missing,7.0,sonic,sedan
389,2021 BMW ,missing,48140,missing,9.0,sonic,sedan
390,2020 BMW ,missing,36999,missing,12473.0,sonic,sedan
391,2020 BMW ,missing,38608,missing,21865.0,sonic,sedan
392,2020 BMW ,missing,30996,missing,28165.0,sonic,sedan
393,2019 BMW ,missing,37999,missing,12452.0,sonic,sedan
394,2019 BMW ,missing,35608,missing,45451.0,sonic,sedan
395,2019 BMW ,missing,36999,missing,23447.0,sonic,sedan
396,2019 BMW ,missing,33999,missing,24265.0,sonic,sedan
397,2019 BMW ,missing,31999,missing,46793.0,sonic,sedan
398,2018 BMW ,missing,30798,missing,25989.0,sonic,sedan
399,2018 BMW ,missing,Please Call,missing,40803.0,sonic,sedan
400,2018 BMW ,missing,28999,missing,41941.0,sonic,sedan
401,2018 BMW ,missing,30499,missing,21898.0,sonic,sedan
402,2018 BMW ,missing,30999,missing,32595.0,sonic,sedan
403,2018 BMW ,missing,27999,missing,43144.0,sonic,sedan
404,2018 BMW ,missing,32999,missing,17859.0,sonic,sedan
405,2018 BMW ,missing,30999,missing,31841.0,sonic,sedan
406,2018 BMW ,missing,29999,missing,13358.0,sonic,sedan
407,2018 BMW ,missing,31608,missing,27137.0,sonic,sedan
408,2018 BMW ,missing,32999,missing,5180.0,sonic,sedan
409,2018 BMW ,missing,29999,missing,30564.0,sonic,sedan
410,2018 BMW ,missing,31499,missing,17500.0,sonic,sedan
411,2018 BMW ,missing,27499,missing,37210.0,sonic,sedan
412,2018 BMW ,missing,27999,missing,14248.0,sonic,sedan
