,year_make,model_trim,price,state,miles,source
167,2019 Audi ,missing,59999,missing,23045.0,sonic
168,2018 Audi ,missing,49999,missing,23182.0,sonic
169,2018 Audi ,missing,42999,missing,51248.0,sonic
170,2018 Audi ,missing,52999,missing,26097.0,sonic
171,2019 Audi ,missing,67198,missing,8872.0,sonic
172,2019 Audi ,missing,60595,missing,7369.0,sonic
173,2019 Audi ,missing,68999,missing,9030.0,sonic
174,2020 Audi ,missing,75996,missing,1622.0,sonic
175,2019 Audi ,missing,71599,missing,16355.0,sonic
176,2019 Audi ,missing,68999,missing,26854.0,sonic
177,2019 Audi ,missing,63996,missing,48299.0,sonic
178,2019 Audi ,missing,Please Call,missing,22537.0,sonic
179,2019 Audi ,missing,68888,missing,27574.0,sonic
180,2021 Audi ,missing,119999,missing,18803.0,sonic
181,2018 Audi ,missing,43486,missing,19701.0,sonic
182,2018 Audi ,missing,41498,missing,38020.0,sonic
183,2021 Audi ,missing,65999,missing,1236.0,sonic
184,2021 Audi ,missing,59996,missing,2629.0,sonic
185,2020 Audi ,missing,53099,missing,25078.0,sonic
186,2020 Audi ,missing,63998,missing,8954.0,sonic
187,2018 Audi ,missing,46999,missing,36465.0,sonic
188,2018 Audi ,missing,45999,missing,36002.0,sonic
189,2018 Audi ,missing,43999,missing,21175.0,sonic
190,2019 Audi ,missing,55998,missing,24134.0,sonic
191,2019 Audi ,missing,58999,missing,5195.0,sonic
192,2018 Audi ,missing,44999,missing,41211.0,sonic
193,2018 Audi ,missing,47999,missing,24082.0,sonic
194,2021 Audi ,missing,Please Call,missing,150.0,sonic
195,2021 Audi ,missing,70996,missing,5263.0,sonic
196,2019 Audi ,missing,58999,missing,22087.0,sonic
197,2019 Audi ,missing,58999,missing,18365.0,sonic
198,2021 BMW ,missing,40982,missing,9.0,sonic
199,2021 BMW ,missing,42112,missing,9.0,sonic
200,2021 BMW ,missing,42582,missing,7.0,sonic
201,2021 BMW ,missing,36944,missing,8122.0,sonic
202,2021 BMW ,missing,39861,missing,10.0,sonic
203,2021 BMW ,missing,39351,missing,2124.0,sonic
204,2021 BMW ,missing,41141,missing,5.0,sonic
205,2021 BMW ,missing,39490,missing,6.0,sonic
206,2021 BMW ,missing,37240,missing,6.0,sonic
207,2021 BMW ,missing,40291,missing,11.0,sonic
208,2021 BMW ,missing,38140,missing,6.0,sonic
209,2021 BMW ,missing,40291,missing,6.0,sonic
210,2021 BMW ,missing,38541,missing,2100.0,sonic
211,2021 BMW ,missing,39960,missing,5.0,sonic
212,2021 BMW ,missing,38581,missing,6.0,sonic
213,2021 BMW ,missing,39961,missing,9.0,sonic
214,2021 BMW ,missing,40461,missing,5.0,sonic
215,2021 BMW ,missing,38931,missing,6.0,sonic
216,2021 BMW ,missing,39421,missing,2331.0,sonic
217,2021 BMW ,missing,39341,missing,9.0,sonic
218,2021 BMW ,missing,39941,missing,6.0,sonic
219,2021 BMW ,missing,40461,missing,6.0,sonic
220,2021 BMW ,missing,39341,missing,6.0,sonic
221,2021 BMW ,missing,40741,missing,4.0,sonic
222,2021 BMW ,missing,38691,missing,3111.0,sonic
223,2021 BMW ,missing,39281,missing,2172.0,sonic
224,2021 BMW ,missing,39281,missing,1994.0,sonic
225,2021 BMW ,missing,37981,missing,1590.0,sonic
226,2021 BMW ,missing,37681,missing,1210.0,sonic
227,2021 BMW ,missing,38451,missing,1310.0,sonic
228,2021 BMW ,missing,44459,missing,3507.0,sonic
229,2021 BMW ,missing,39999,missing,1033.0,sonic
230,2021 BMW ,missing,38691,missing,11.0,sonic
231,2021 BMW ,missing,41042,missing,3.0,sonic
232,2021 BMW ,missing,38021,missing,12.0,sonic
233,2021 BMW ,missing,40390,missing,2100.0,sonic
234,2021 BMW ,missing,41880,missing,2100.0,sonic
235,2021 BMW ,missing,45559,missing,3.0,sonic
236,2021 BMW ,missing,40600,missing,1250.0,sonic
237,2021 BMW ,missing,41494,missing,15.0,sonic
238,2021 BMW ,missing,40781,missing,12.0,sonic
239,2021 BMW ,missing,40912,missing,3.0,sonic
240,2021 BMW ,missing,37886,missing,5333.0,sonic
241,2021 BMW ,missing,38501,missing,8.0,sonic
242,2021 BMW ,missing,39620,missing,3.0,sonic
243,2021 BMW ,missing,39471,missing,6.0,sonic
