,year_make,model_trim,price,state,miles,source
147, 2019 Audi Q7, Premium Plus 45 TFSI quattro ,44995,MD,55000.0,autonation
148, 2018 Audi Q5, 2.0 TFSI Premium ,33495,VA,36000.0,autonation
149, 2019 Audi Q7, Premium 55 TFSI quattro ,49670,NY,14000.0,autonation
150, 2019 Audi Q7, Prestige 55 TFSI quattro ,53540,NY,24000.0,autonation
151, 2021 Audi Q3, S line Premium Plus 45 TFSI quattro ,42990,OH,8000.0,autonation
152, 2011 Audi Q5, quattro 4dr 2.0T Premium Plus ,13689,GA,96000.0,autonation
153, 2012 Audi Q7, quattro 4dr 3.0L TDI Premium Plus ,17690,GA,117000.0,autonation
154, 2018 Audi Q7, 3.0 TFSI Prestige ,44990,GA,53000.0,autonation
155, 2015 Audi Q3, quattro 4dr 2.0T Premium Plus ,18920,GA,89000.0,autonation
156, 2018 Audi Q7, 3.0 TFSI Prestige ,44997,GA,52000.0,autonation
157, 2018 Audi Q3, 2.0 TFSI Premium Plus quattro AWD ,32998,IL,8000.0,autonation
158, 2018 Audi Q3, 2.0 TFSI Premium Plus quattro AWD ,29995,IL,30000.0,autonation
159, 2018 Audi Q7, 3.0 TFSI Premium Plus ,46408,IL,25000.0,autonation
160, 2018 Audi Q7, 2.0 TFSI Premium Plus ,39991,IL,25000.0,autonation
161, 2011 Audi Q7, quattro 4dr 3.0L TDI Prestige ,16991,IL,113000.0,autonation
162, 2021 Audi Q3, S line Premium Plus 45 TFSI quattro ,41777,IL,7000.0,autonation
163, 2016 Audi Q5, quattro 4dr 2.0T Premium Plus ,24997,IL,40000.0,autonation
164, 2016 Audi Q3, quattro 4dr Premium Plus ,15737,IL,132000.0,autonation
165, 2012 Audi Q5, quattro 4dr 2.0T Premium Plus ,19000,IL,43000.0,autonation
166, 2015 Audi Q7, quattro 4dr 3.0T Premium Plus ,25000,IL,77000.0,autonation
167, 2021 Audi Q7, Prestige 55 TFSI quattro ,76939,IL,1000.0,autonation
168, 2014 Audi Q5, quattro 4dr 2.0T Premium Plus ,19750,IL,81000.0,autonation
169, 2019 Audi SQ5, Prestige 3.0 TFSI quattro ,46500,IL,23000.0,autonation
170, 2021 Audi e-tron, Prestige quattro ,79000,IL,4000.0,autonation
171, 2018 Audi Q3, 2.0 TFSI Premium Plus quattro AWD ,26399,GA,29000.0,autonation
172, 2019 Audi Q5, Premium Plus 45 TFSI quattro ,40999,GA,24000.0,autonation
173, 2017 Audi Q7, 2.0 TFSI Premium Plus ,42679,GA,24000.0,autonation
174, 2014 Audi Q7, quattro 4dr 3.0T S line Prestige ,19399,GA,117000.0,autonation
175, 2011 Audi Q7, quattro 4dr 3.0L TDI Premium Plus ,13495,FL,137000.0,autonation
176, 2019 Audi Q7, Prestige 55 TFSI quattro ,53495,TN,26000.0,autonation
177, 2013 Audi Q5, quattro 4dr 2.0T Premium Plus ,14991,TN,111000.0,autonation
178, 2018 Audi Q3, 2.0 TFSI Premium Plus quattro AWD ,27490,FL,30000.0,autonation
179, 2018 Audi SQ5, 3.0 TFSI Premium Plus ,45490,FL,14000.0,autonation
180, 2018 Audi Q3, 2.0 TFSI Premium FWD ,24490,FL,51000.0,autonation
181, 2015 Audi Q5, quattro 4dr 2.0T Premium ,23999,FL,45000.0,autonation
182, 2016 Audi Q5, quattro 4dr 2.0T Premium ,20595,FL,93000.0,autonation
183, 2018 Audi SQ5, 3.0 TFSI Premium Plus ,43995,FL,42000.0,autonation
184, 2018 Audi Q5, 2.0 TFSI Premium Plus ,36899,FL,26000.0,autonation
185, 2017 Audi Q5, 2.0 TFSI Premium Plus ,22690,FL,88000.0,autonation
186, 2017 Audi SQ5, 3.0 TFSI Prestige ,28996,FL,93000.0,autonation
187, 2010 Audi Q5, quattro 4dr Premium ,11995,FL,92000.0,autonation
188, 2013 Audi Q5, quattro 4dr 2.0T Premium ,13995,FL,120000.0,autonation
189, 2016 Audi Q3, quattro 4dr Prestige ,23320,FL,68000.0,autonation
190, 2014 Audi Q5, quattro 4dr 3.0T Premium Plus ,18890,FL,99000.0,autonation
191, 2008 Audi Q7, quattro 4dr 3.6L ,12477,FL,73000.0,autonation
192, 2018 Audi Q5, 2.0 TFSI Premium Plus ,29881,FL,61000.0,autonation
193, 2018 Audi SQ5, 3.0 TFSI Premium Plus ,46995,FL,14000.0,autonation
194, 2018 Audi Q7, 3.0 TFSI Prestige ,48989,FL,34000.0,autonation
195, 2008 Audi Q7, quattro 4dr 3.6L Premium ,9995,FL,116000.0,autonation
196, 2020 Audi Q3, S line Premium 45 TFSI quattro ,36900,FL,5000.0,autonation
197, 2018 Audi Q3, 2.0 TFSI Premium FWD ,23996,FL,48000.0,autonation
198, 2013 Audi Q5, quattro 4dr 2.0T Premium Plus ,18995,FL,63000.0,autonation
199, 2019 Audi Q5, Premium Plus 45 TFSI quattro ,36498,FL,31000.0,autonation
200, 2015 Audi Q5, quattro 4dr 2.0T Premium Plus ,23991,FL,46000.0,autonation
201, 2018 Audi Q5, 2.0 TFSI Premium Plus ,31311,TX,50000.0,autonation
202, 2019 Audi SQ5, Premium Plus 3.0 TFSI quattro ,51990,TX,10000.0,autonation
203, 2018 Audi Q5, 2.0 TFSI Premium Plus ,31991,TX,63000.0,autonation
204, 2019 Audi Q8, Prestige 55 TFSI quattro ,71495,TX,19000.0,autonation
205, 2021 Audi SQ8, Prestige 4.0 TFSI quattro ,107992,TX,1000.0,autonation
206, 2017 Audi Q7, 3.0 TFSI Prestige ,40985,TX,57000.0,autonation
207, 2019 Audi e-tron, Prestige quattro ,61991,TX,19000.0,autonation
208, 2019 Audi Q5, Premium 45 TFSI quattro ,34991,TX,34000.0,autonation
209, 2018 Audi Q3, 2.0 TFSI Premium FWD ,26495,TX,45000.0,autonation
210, 2018 Audi Q3, 2.0 TFSI Sport Premium FWD ,23900,TX,75000.0,autonation
211, 2012 Audi Q5, quattro 4dr 2.0T Premium ,10995,TX,131000.0,autonation
212, 2014 Audi Q5, quattro 4dr 2.0T Premium Plus ,17991,TX,87000.0,autonation
213, 2018 Audi Q5, 2.0 TFSI Premium Plus ,34991,TX,19000.0,autonation
214, 2018 Audi Q5, 2.0 TFSI Premium ,28991,TX,45000.0,autonation
215, 2015 Audi Q5, quattro 4dr 2.0T Premium Plus ,17691,TX,95000.0,autonation
216, 2014 Audi Q5, quattro 4dr 3.0T Premium Plus ,15495,TX,141000.0,autonation
217, 2017 Audi Q5, 2.0 TFSI Premium Plus ,26991,TX,64000.0,autonation
218, 2019 Audi Q7, Premium 45 TFSI quattro ,44391,TX,21000.0,autonation
219, 2013 Audi Q7, quattro 4dr 3.0T Premium Plus ,19691,TX,81000.0,autonation
220, 2018 Audi Q5, 2.0 TFSI Tech Premium Plus ,36491,TX,27000.0,autonation
