,year_make,model_trim,price,state,miles,source
276,2021 Acura,RDX SH-AWD A-Spec,48998,LA,3000.0,carmax
277,2020 Acura,RDX ,37998,OK,30000.0,carmax
278,2016 Acura,MDX Advance,30998,TX,52000.0,carmax
279,2016 Acura,MDX ,26998,TX,80000.0,carmax
280,2017 Acura,MDX ,32998,TX,39000.0,carmax
281,2016 Acura,MDX ,25998,TX,80000.0,carmax
282,2019 Acura,RDX ,33998,TX,47000.0,carmax
283,2019 Acura,MDX ,36998,TX,47000.0,carmax
284,2019 Acura,MDX Advance,46998,AZ,14000.0,carmax
285,2020 Acura,RDX ,41998,TX,10000.0,carmax
286,2018 Acura,MDX ,34998,CO,34000.0,carmax
287,2020 Acura,RDX ,39998,CO,16000.0,carmax
288,2017 Acura,RDX ,26998,AZ,36000.0,carmax
289,2019 Acura,RDX ,38998,NV,15000.0,carmax
290,2014 Acura,RDX AWD,22998,WA,74000.0,carmax
291,2020 Acura,RDX ,39998,CO,18000.0,carmax
292,2019 Acura,MDX ,37998,TX,21000.0,carmax
293,2018 Acura,MDX ,36998,NM,39000.0,carmax
294,2016 Acura,MDX Advance,31998,NM,50000.0,carmax
295,2018 Acura,MDX Advance,34998,CO,57000.0,carmax
296,2018 Acura,MDX ,36998,CA,36000.0,carmax
297,2018 Acura,RDX ,26998,CA,45000.0,carmax
298,2019 Acura,RDX ,34998,TX,20000.0,carmax
299,2018 Acura,RDX ,29998,TX,14000.0,carmax
300,2017 Acura,RDX ,25998,CA,40000.0,carmax
301,2018 Audi,Q5 Premium Plus,35998,PA,28000.0,carmax
302,2013 Audi,Q5 Premium Plus,21998,MD,66000.0,carmax
303,2015 Audi,Q5 Premium Plus,27998,MD,49000.0,carmax
304,2018 Audi,Q5 Premium,31998,MD,38000.0,carmax
305,2017 Audi,Q5 Premium,28998,PA,46000.0,carmax
306,2019 Audi,Q8 Prestige,74998,PA,15000.0,carmax
307,2015 Audi,Q7 Premium,31998,MD,43000.0,carmax
308,2018 Audi,Q3 Premium,30998,MD,25000.0,carmax
309,2016 Audi,Q5 Premium Plus,26998,VA,61000.0,carmax
310,2018 Audi,SQ5 Premium Plus,43998,VA,19000.0,carmax
311,2017 Audi,Q5 Premium,27998,VA,53000.0,carmax
312,2018 Audi,Q3 Premium Plus,26998,VA,49000.0,carmax
313,2015 Audi,Q3 Premium Plus,24998,DE,59000.0,carmax
314,2016 Audi,Q5 Premium Plus,27998,DE,59000.0,carmax
315,2012 Audi,Q5 Premium Plus,23998,NJ,52000.0,carmax
316,2016 Audi,Q5 Premium Plus,27998,MD,59000.0,carmax
317,2016 Audi,Q5 Premium Plus,28998,VA,48000.0,carmax
318,2016 Audi,Q5 Premium Plus,31998,VA,21000.0,carmax
319,2012 Audi,Q5 Prestige,23998,VA,57000.0,carmax
320,2016 Audi,Q5 Premium Plus,27998,VA,57000.0,carmax
321,2015 Audi,Q7 Premium Plus,29998,VA,67000.0,carmax
322,2018 Audi,SQ5 Prestige,45998,VA,26000.0,carmax
323,2017 Audi,Q3 Premium,25998,VA,53000.0,carmax
324,2016 Audi,Q5 Premium Plus,25998,VA,66000.0,carmax
325,2018 Audi,Q5 Premium Plus,35998,VA,28000.0,carmax
326,2017 Audi,Q3 Premium Plus,28998,VA,33000.0,carmax
327,2014 Audi,Q5 Premium Plus,24998,OH,63000.0,carmax
328,2014 Audi,Q5 Premium Plus,26998,CT,62000.0,carmax
329,2015 Audi,Q7 Premium Plus,32998,CT,57000.0,carmax
330,2017 Audi,Q5 Premium Plus,33998,MA,28000.0,carmax
331,2018 Audi,SQ5 Premium Plus,43998,NC,23000.0,carmax
332,2016 Audi,Q5 Premium Plus,26998,OH,71000.0,carmax
333,2016 Audi,Q5 Premium Plus,28998,MA,56000.0,carmax
334,2018 Audi,SQ5 Prestige,42998,NC,53000.0,carmax
335,2017 Audi,Q7 Premium Plus,44998,TN,17000.0,carmax
336,2019 Audi,Q7 Premium Plus,46998,TN,29000.0,carmax
337,2015 Audi,Q5 Premium,28998,OH,32000.0,carmax
338,2013 Audi,Q5 Premium Plus,23998,OH,55000.0,carmax
339,2018 Audi,SQ5 Premium Plus,41998,NC,41000.0,carmax
340,2016 Audi,Q5 Premium Plus,28998,NC,58000.0,carmax
341,2018 Audi,Q5 Premium Plus,36998,NC,24000.0,carmax
342,2016 Audi,Q5 Premium,25998,NC,52000.0,carmax
