,year_make,model_trim,price,state,miles,source,type
134,2020 Acura,ILX ,25998,WA,8000.0,carmax,sedan
135,2016 Acura,ILX ,18998,CA,57000.0,carmax,sedan
136,2016 Acura,TLX ,23998,TX,42000.0,carmax,sedan
137,2019 Acura,TLX ,26998,TX,43000.0,carmax,sedan
138,2017 Acura,RLX ,25998,CA,39000.0,carmax,sedan
139,2016 Acura,TLX ,20998,CA,74000.0,carmax,sedan
140,2018 Acura,ILX ,24998,CA,19000.0,carmax,sedan
141,2018 Acura,TLX ,27998,CA,21000.0,carmax,sedan
142,2019 Acura,TLX ,26998,CA,35000.0,carmax,sedan
143,2016 Acura,ILX ,20998,CA,24000.0,carmax,sedan
144,2018 Acura,TLX ,25998,WA,43000.0,carmax,sedan
145,2018 Acura,TLX ,26998,CA,17000.0,carmax,sedan
146,2017 Acura,ILX ,20998,CO,23000.0,carmax,sedan
147,2017 Acura,TLX ,22998,TX,50000.0,carmax,sedan
148,2016 Acura,TLX ,22998,OR,52000.0,carmax,sedan
149,2012 Acura,TL ,16998,CA,87000.0,carmax,sedan
150,2020 Acura,TLX ,29998,CA,4000.0,carmax,sedan
151,2009 Acura,TSX ,16998,CO,57000.0,carmax,sedan
152,2020 Acura,ILX ,27998,TX,2000.0,carmax,sedan
153,2019 Acura,ILX ,24998,CA,26000.0,carmax,sedan
154,2018 Acura,TLX ,25998,CA,27000.0,carmax,sedan
155,2018 Acura,ILX ,23998,TX,17000.0,carmax,sedan
156,2018 Acura,TLX ,24998,WA,23000.0,carmax,sedan
157,2017 Acura,TLX ,21998,NV,57000.0,carmax,sedan
158,2017 Acura,TLX ,23998,TX,47000.0,carmax,sedan
159,2017 Acura,TLX ,23998,CA,45000.0,carmax,sedan
160,2015 Acura,TLX ,22998,PA,51000.0,carmax,sedan
161,2020 Acura,ILX ,26998,PA,10000.0,carmax,sedan
162,2020 Acura,TLX ,28998,MD,21000.0,carmax,sedan
163,2021 Acura,TLX SH-AWD Advance,47998,MD,11000.0,carmax,sedan
164,2016 Acura,TLX ,23998,PA,42000.0,carmax,sedan
165,2015 Acura,TLX ,25998,PA,30000.0,carmax,sedan
166,2020 Acura,TLX ,32998,MD,4000.0,carmax,sedan
167,2021 Acura,ILX ,29998,MD,1000.0,carmax,sedan
168,2015 Acura,TLX ,22998,VA,60000.0,carmax,sedan
169,2016 Acura,TLX ,22998,DE,52000.0,carmax,sedan
170,2010 Acura,TL ,13599,PA,120000.0,carmax,sedan
171,2020 Acura,TLX ,33998,VA,2000.0,carmax,sedan
172,2015 Acura,TLX ,20998,CT,70000.0,carmax,sedan
173,2014 Acura,TL Special Edition,16998,OH,101000.0,carmax,sedan
174,2021 Acura,TLX SH-AWD A-Spec,49998,NC,2000.0,carmax,sedan
175,2019 Acura,TLX ,28998,NC,53000.0,carmax,sedan
176,2017 Acura,TLX ,26998,OH,38000.0,carmax,sedan
177,2013 Acura,ILX 2.0,16998,NC,81000.0,carmax,sedan
178,2018 Acura,TLX ,25998,GA,53000.0,carmax,sedan
179,2019 Acura,TLX ,27998,GA,31000.0,carmax,sedan
180,2017 Acura,TLX ,23998,GA,38000.0,carmax,sedan
181,2018 Acura,TLX ,23998,IL,60000.0,carmax,sedan
182,2018 Acura,ILX Special Edition,23998,IL,14000.0,carmax,sedan
183,2020 Acura,ILX ,30998,TN,5000.0,carmax,sedan
184,2020 Acura,TLX ,31998,WI,27000.0,carmax,sedan
185,2015 Acura,TLX ,21998,GA,57000.0,carmax,sedan
186,2019 Acura,TLX ,28998,GA,25000.0,carmax,sedan
187,2016 Acura,TLX ,24998,MO,43000.0,carmax,sedan
188,2019 Acura,TLX ,26998,FL,46000.0,carmax,sedan
189,2020 Acura,TLX ,30998,FL,12000.0,carmax,sedan
190,2017 Acura,ILX ,21998,FL,39000.0,carmax,sedan
191,2016 Acura,TLX ,22998,FL,65000.0,carmax,sedan
192,2019 Acura,TLX ,27998,LA,33000.0,carmax,sedan
193,2018 Acura,TLX ,24998,TX,39000.0,carmax,sedan
194,2016 Acura,ILX ,19998,TX,48000.0,carmax,sedan
195,2019 Acura,TLX ,29998,TX,11000.0,carmax,sedan
196,2017 Acura,TLX ,22998,TX,64000.0,carmax,sedan
197,2020 Acura,ILX ,27998,TX,24000.0,carmax,sedan
198,2017 Acura,TLX ,23998,TX,39000.0,carmax,sedan
199,2016 Acura,TLX ,18998,NV,107000.0,carmax,sedan
200,2016 Acura,ILX ,19998,TX,82000.0,carmax,sedan
201,2019 Acura,ILX ,25998,NV,25000.0,carmax,sedan
202,2016 Acura,ILX ,17998,TX,99000.0,carmax,sedan
203,2015 Acura,RLX ,26998,NV,34000.0,carmax,sedan
204,2019 Acura,TLX ,29998,CA,18000.0,carmax,sedan
205,2015 Acura,TLX ,21998,OR,63000.0,carmax,sedan
206,2016 Acura,ILX ,18998,CO,58000.0,carmax,sedan
207,2012 Acura,TL ,15998,TX,100000.0,carmax,sedan
208,2015 Acura,TLX ,19998,AZ,92000.0,carmax,sedan
209,2020 Acura,ILX ,28998,TX,10000.0,carmax,sedan
210,2016 Acura,RLX ,24998,CA,53000.0,carmax,sedan
211,2021 Acura,TLX SH-AWD A-Spec,43998,CA,5000.0,carmax,sedan
212,2016 Acura,TLX ,23998,OR,51000.0,carmax,sedan
213,2016 Acura,TLX ,22998,WA,34000.0,carmax,sedan
214,2017 Acura,TLX ,23998,TX,48000.0,carmax,sedan
215,2018 Audi,A4 Premium Plus,30998,PA,30000.0,carmax,sedan
216,2018 Audi,A3 Premium,24998,PA,31000.0,carmax,sedan
217,2016 Audi,S6 Premium Plus,39998,PA,55000.0,carmax,sedan
218,2017 Audi,A4 Premium,23998,PA,59000.0,carmax,sedan
219,2017 Audi,A4 Premium,27998,MD,21000.0,carmax,sedan
220,2015 Audi,A3 Premium,20998,PA,60000.0,carmax,sedan
221,2018 Audi,A3 Premium Plus,29998,MD,17000.0,carmax,sedan
222,2015 Audi,A6 Premium Plus,24998,MD,50000.0,carmax,sedan
223,2018 Audi,A3 Premium,25998,VA,33000.0,carmax,sedan
224,2017 Audi,A4 Premium,23998,DE,52000.0,carmax,sedan
225,2018 Audi,S3 Premium Plus,41998,NJ,18000.0,carmax,sedan
226,2020 Audi,A3 Premium S-Line,34998,MD,6000.0,carmax,sedan
227,2016 Audi,A3 Premium,21998,MD,51000.0,carmax,sedan
228,2020 Audi,A3 Premium Plus S-Line,35998,VA,5000.0,carmax,sedan
229,2018 Audi,A5 Premium Plus,32998,VA,47000.0,carmax,sedan
230,2019 Audi,S5 Prestige,53998,VA,20000.0,carmax,sedan
231,2018 Audi,A6 Sport,29998,VA,54000.0,carmax,sedan
232,2016 Audi,A3 Premium,25998,VA,24000.0,carmax,sedan
233,2020 Audi,S6 Premium Plus,71998,VA,17000.0,carmax,sedan
234,2017 Audi,A4 Premium,26998,VA,50000.0,carmax,sedan
235,2018 Audi,S5 Prestige,47998,VA,32000.0,carmax,sedan
236,2020 Audi,A3 Premium Plus S-Line,34998,VA,6000.0,carmax,sedan
237,2019 Audi,A7 Premium Plus,59998,CT,17000.0,carmax,sedan
238,2015 Audi,A3 Premium,18998,VA,84000.0,carmax,sedan
239,2018 Audi,A3 Premium Plus,29998,VA,22000.0,carmax,sedan
240,2015 Audi,S7 ,43998,CT,49000.0,carmax,sedan
