,year_make,model_trim,price,state,miles,source
1083,2019 Acura ,missing,"$34,298",Location: Vandergriff Acura ,49638.0,berkshire
1084,2019 Jeep ,missing,"$34,387",Location: Vandergriff Toyota ,41920.0,berkshire
1085,2019 Subaru ,missing,"$34,490",Location: Reliable Subaru ,40075.0,berkshire
1086,2019 Honda ,missing,"$34,499",Location: Vandergriff Honda ,37470.0,berkshire
1087,2019 Toyota ,missing,"$34,550",Location: Kenny Kent Toyota ,55736.0,berkshire
1088,2019 Lincoln ,missing,"$34,581",Location: Surprise Ford ,37195.0,berkshire
1089,2019 Honda ,missing,"$34,600",Location: Showcase Honda ,25282.0,berkshire
1090,2019 Toyota ,missing,"$34,684",Location: Texas Toyota of Grapevine ,48448.0,berkshire
1091,2019 Toyota ,missing,"$34,691",Location: North Park Toyota of San Antonio ,32872.0,berkshire
1092,2019 BMW ,missing,"$34,735",Location: Peoria Nissan ,30547.0,berkshire
1093,2019 BMW ,missing,"$34,739",Location: Camelback Hyundai ,43650.0,berkshire
1094,2019 Honda ,missing,"$34,750",Location: Honda of Fort Worth ,24583.0,berkshire
1095,2019 Jeep ,missing,"$34,890",Location: Reliable Toyota ,48650.0,berkshire
1096,2019 INFINITI ,missing,"$34,900",Location: Nissan of McKinney ,45272.0,berkshire
1097,2019 Toyota ,missing,"$34,921",Location: Vandergriff Toyota ,55765.0,berkshire
1098,2019 Toyota ,missing,"$34,930",Location: Vandergriff Hyundai ,21366.0,berkshire
1099,2019 Toyota ,missing,"$34,991",Location: North Park Toyota of San Antonio ,12709.0,berkshire
1100,2019 Toyota ,missing,"$34,994",Location: Camelback Toyota ,79245.0,berkshire
1101,2019 LEXUS ,missing,"$34,994",Location: Crest Volvo Cars ,23094.0,berkshire
1102,2019 Toyota ,missing,"$35,036",Location: Vandergriff Toyota ,57801.0,berkshire
1103,2019 Toyota ,missing,"$35,100",Location: Reliable Chevrolet ,89471.0,berkshire
1104,2019 LEXUS ,missing,"$35,170",Location: South County Lexus ,20185.0,berkshire
1105,2019 Honda ,missing,"$35,242",Location: Delray Honda ,29981.0,berkshire
1106,2019 Acura ,missing,"$35,265",Location: Acura Of Peoria ,19005.0,berkshire
1107,2019 Cadillac ,missing,"$35,320",Location: Crest Cadillac ,21823.0,berkshire
1108,2019 Toyota ,missing,"$35,360",Location: Vandergriff Toyota ,21184.0,berkshire
1109,2019 LEXUS ,missing,"$35,370",Location: South County Lexus ,28305.0,berkshire
1110,2019 LEXUS ,missing,"$35,495",Location: Superstition Springs Lexus ,21989.0,berkshire
1111,2019 Toyota ,missing,"$35,495",Location: Seminole Toyota ,23878.0,berkshire
1112,2019 BMW ,missing,"$35,496",Location: Vandergriff Toyota ,8599.0,berkshire
1113,2019 Honda ,missing,"$35,499",Location: Delray Honda ,35866.0,berkshire
1114,2019 INFINITI ,missing,"$35,500",Location: Crest INFINITI ,54183.0,berkshire
1115,2019 Volvo ,missing,"$35,520",Location: Vandergriff Honda ,30531.0,berkshire
1116,2019 Toyota ,missing,"$35,600",Location: Camelback Subaru ,8116.0,berkshire
1117,2019 Jeep ,missing,"$35,625",Location: Vandergriff Acura ,18646.0,berkshire
1118,2019 Toyota ,missing,"$35,800",Location: Nissan of McKinney ,12433.0,berkshire
1119,2019 Toyota ,missing,"$35,806",Location: Toyota of Dallas ,30450.0,berkshire
1120,2019 Toyota ,missing,"$35,847",Location: Toyota of Richardson ,38460.0,berkshire
1121,2019 Honda ,missing,"$35,880",Location: Showcase Honda ,29565.0,berkshire
1122,2019 Ford ,missing,"$35,888",Location: Peoria Ford ,20398.0,berkshire
1123,2019 Honda ,missing,"$35,900",Location: Joe Myers Imports ,61181.0,berkshire
1124,2019 Honda ,missing,"$35,900",Location: Village Pointe Toyota ,31872.0,berkshire
1125,2019 Chevrolet ,missing,,Location: Midway Chevrolet ,29557.0,berkshire
1126,2019 Cadillac ,missing,"$35,990",Location: Vandergriff Chevrolet ,18647.0,berkshire
1127,2019 Toyota ,missing,"$35,995",Location: Toyota of Deerfield Beach ,15866.0,berkshire
1128,2019 Toyota ,missing,"$35,995",Location: Toyota of Deerfield Beach ,17044.0,berkshire
1129,2019 Toyota ,missing,"$35,997",Location: INFINITI of Scottsdale ,16130.0,berkshire
1130,2019 Chevrolet ,missing,"$36,000",Location: Grapevine Ford ,40342.0,berkshire
1131,2019 Toyota ,missing,"$36,020",Location: Acura Of Peoria ,45967.0,berkshire
1132,2019 Toyota ,missing,"$36,159",Location: Vandergriff Toyota ,29054.0,berkshire
1133,2019 Ford ,missing,"$36,175",Location: Airpark Dodge Chrysler Jeep ,5286.0,berkshire
1134,2019 Toyota ,missing,"$36,181",Location: North Park Toyota of San Antonio ,35201.0,berkshire
1135,2019 Toyota ,missing,"$36,195",Location: Toyota of Dallas ,20279.0,berkshire
1136,2019 Acura ,missing,"$36,201",Location: Acura Of Peoria ,24045.0,berkshire
1137,2019 Acura ,missing,"$36,498",Location: Vandergriff Acura ,30125.0,berkshire
1138,2019 INFINITI ,missing,"$36,499",Location: INFINITI of Scottsdale ,11959.0,berkshire
1139,2019 Toyota ,missing,"$36,596",Location: Toyota of Dallas ,47629.0,berkshire
1140,2019 Cadillac ,missing,"$36,597",Location: Crest Cadillac ,33179.0,berkshire
1141,2019 Chevrolet ,missing,"$36,700",Location: Crest Cadillac ,37973.0,berkshire
1142,2019 Acura ,missing,"$36,732",Location: Vandergriff Acura ,20088.0,berkshire
1143,2019 Honda ,missing,"$36,750",Location: Acura Of Peoria ,11804.0,berkshire
1144,2019 Nissan ,missing,"$36,777",Location: Trophy Nissan ,37137.0,berkshire
1145,2019 GMC ,missing,"$36,789",Location: Reliable Hyundai ,5798.0,berkshire
1146,2019 Toyota ,missing,"$36,874",Location: Toyota of Richardson ,30639.0,berkshire
1147,2019 Jeep ,missing,"$36,908",Location: Airpark Dodge Chrysler Jeep ,33553.0,berkshire
1148,2019 Toyota ,missing,"$36,988",Location: Superstition Springs Lexus ,14946.0,berkshire
1149,2019 INFINITI ,missing,"$36,998",Location: Crest INFINITI ,24756.0,berkshire
1150,2019 INFINITI ,missing,"$36,998",Location: Crest INFINITI ,46944.0,berkshire
1151,2019 Toyota ,missing,"$37,000",Location: Grapevine Ford ,18839.0,berkshire
1152,2019 Subaru ,missing,"$37,039",Location: Camelback Subaru ,10551.0,berkshire
1153,2019 Toyota ,missing,"$37,148",Location: Camelback Toyota ,25041.0,berkshire
1154,2019 Toyota ,missing,"$37,177",Location: Vandergriff Toyota ,26916.0,berkshire
1155,2019 Honda ,missing,"$37,242",Location: Westway Ford ,25539.0,berkshire
1156,2019 Jeep ,missing,"$37,250",Location: Honda of Fort Worth ,8947.0,berkshire
1157,2019 BMW ,missing,"$37,379",Location: Superstition Springs Lexus ,24558.0,berkshire
1158,2019 INFINITI ,missing,"$37,400",Location: Crest INFINITI ,26983.0,berkshire
1159,2019 Cadillac ,missing,"$37,436",Location: Vandergriff Chevrolet ,20785.0,berkshire
1160,2019 Volkswagen ,missing,"$37,484",Location: Crest Volvo Cars ,18060.0,berkshire
1161,2019 Acura ,missing,"$37,492",Location: Vandergriff Acura ,28919.0,berkshire
1162,2019 GMC ,missing,"$37,588",Location: Van Chevrolet ,22447.0,berkshire
1163,2019 Toyota ,missing,"$37,708",Location: Toyota of Dallas ,27819.0,berkshire
1164,2019 Toyota ,missing,"$37,788",Location: Camelback Toyota ,33967.0,berkshire
1165,2019 Acura ,missing,"$37,886",Location: Acura Of Peoria ,24487.0,berkshire
1166,2019 Toyota ,missing,"$37,888",Location: Peoria Ford ,50952.0,berkshire
1167,2019 Nissan ,missing,"$37,889",Location: ABC Nissan ,23821.0,berkshire
1168,2019 Honda ,missing,"$37,898",Location: Texas Toyota of Grapevine ,47044.0,berkshire
1169,2019 LEXUS ,missing,"$37,987",Location: Reliable Lexus ,28845.0,berkshire
1170,2019 LEXUS ,missing,"$37,987",Location: Reliable Toyota ,28845.0,berkshire
1171,2019 INFINITI ,missing,"$37,991",Location: INFINITI of Peoria ,52912.0,berkshire
1172,2019 Toyota ,missing,"$37,991",Location: North Park Toyota of San Antonio ,27210.0,berkshire
1173,2019 INFINITI ,missing,"$37,991",Location: INFINITI of Peoria ,16746.0,berkshire
1174,2019 Chevrolet ,missing,"$37,991",Location: Van Hyundai ,41968.0,berkshire
1175,2019 INFINITI ,missing,"$37,996",Location: INFINITI of Scottsdale ,15005.0,berkshire
1176,2019 Mercedes-Benz ,missing,"$37,997",Location: Reliable Toyota ,24554.0,berkshire
1177,2019 INFINITI ,missing,"$37,998",Location: Crest INFINITI ,20559.0,berkshire
1178,2019 INFINITI ,missing,"$37,998",Location: Crest INFINITI ,30540.0,berkshire
1179,2019 CADILLAC ,missing,"$37,998",Location: Vandergriff Acura ,24462.0,berkshire
1180,2019 Ford ,missing,"$38,000",Location: Grapevine Ford ,33767.0,berkshire
1181,2019 Chevrolet ,missing,"$38,113",Location: Toyota of Dallas ,23227.0,berkshire
1182,2019 Toyota ,missing,"$38,152",Location: Toyota of Dallas ,19495.0,berkshire
1183,2019 Toyota ,missing,"$38,279",Location: Toyota of Dallas ,32799.0,berkshire
1184,2019 Toyota ,missing,"$38,287",Location: FIAT of Scottsdale ,21212.0,berkshire
1185,2019 GMC ,missing,,Location: Reliable Toyota ,55236.0,berkshire
1186,2019 Toyota ,missing,"$38,608",Location: Toyota of Dallas ,22460.0,berkshire
1187,2019 Acura ,missing,"$38,615",Location: Acura Of Peoria ,7335.0,berkshire
1188,2019 Toyota ,missing,"$38,744",Location: Van Subaru ,33989.0,berkshire
1189,2019 Toyota ,missing,"$38,751",Location: South County Lexus ,60218.0,berkshire
1190,2019 Volvo ,missing,"$38,880",Location: Crest Volvo Cars ,31677.0,berkshire
1191,2019 Toyota ,missing,"$38,888",Location: Camelback Toyota ,16350.0,berkshire
1192,2019 GMC ,missing,"$38,888",Location: Peoria Ford ,22782.0,berkshire
1193,2019 Ford ,missing,"$38,956",Location: Vandergriff Toyota ,43346.0,berkshire
1194,2019 Toyota ,missing,"$38,995",Location: Seminole Toyota ,34725.0,berkshire
1195,2019 Honda ,missing,"$39,331",Location: Vandergriff Toyota ,39816.0,berkshire
1196,2019 Subaru ,missing,"$39,387",Location: Reliable Toyota ,51785.0,berkshire
1197,2019 Cadillac ,missing,"$39,419",Location: Reliable Toyota ,19379.0,berkshire
1198,2019 Honda ,missing,"$39,463",Location: Crest Cadillac ,23623.0,berkshire
1199,2019 Acura ,missing,"$39,498",Location: Vandergriff Acura ,28527.0,berkshire
1200,2019 Honda ,missing,"$39,500",Location: Showcase Honda ,42869.0,berkshire
1201,2019 Lincoln ,missing,"$39,585",Location: Seminole Chevrolet ,33223.0,berkshire
1202,2019 Toyota ,missing,"$39,627",Location: Toyota of Dallas ,19532.0,berkshire
1203,2019 Chevrolet ,missing,"$39,661",Location: Grand Prairie Ford ,30255.0,berkshire
1204,2019 Toyota ,missing,"$39,708",Location: Vandergriff Toyota ,18100.0,berkshire
1205,2019 Honda ,missing,"$39,750",Location: Honda of Fort Worth ,32294.0,berkshire
1206,2019 Mercedes-Benz ,missing,"$39,900",Location: Elite Automotive Group ,17952.0,berkshire
1207,2019 Jeep ,missing,"$39,936",Location: Airpark Dodge Chrysler Jeep ,39684.0,berkshire
1208,2019 Toyota ,missing,"$39,990",Location: Vandergriff Toyota ,37786.0,berkshire
1209,2019 Chevrolet ,missing,"$39,990",Location: Vandergriff Chevrolet ,18755.0,berkshire
1210,2019 Audi ,missing,"$39,991",Location: Vandergriff Hyundai ,33851.0,berkshire
1211,2019 Volvo ,missing,"$39,991",Location: Kenny Kent Chevrolet ,24453.0,berkshire
1212,2019 INFINITI ,missing,"$39,998",Location: Crest INFINITI ,36442.0,berkshire
1213,2019 Subaru ,missing,"$40,000",Location: Husker Chevrolet ,19675.0,berkshire
1214,2019 Chevrolet ,missing,"$40,288",Location: Van Chevrolet ,42007.0,berkshire
1215,2019 Toyota ,missing,"$40,291",Location: North Park Toyota of San Antonio ,44958.0,berkshire
1216,2019 Toyota ,missing,"$40,517",Location: Vandergriff Toyota ,28581.0,berkshire
1217,2019 Nissan ,missing,"$40,574",Location: Westway Ford ,44477.0,berkshire
1218,2019 Toyota ,missing,"$40,671",Location: North Park Toyota of San Antonio ,49979.0,berkshire
1219,2019 Honda ,missing,"$40,700",Location: Showcase Honda ,18954.0,berkshire
1220,2019 Nissan ,missing,"$40,777",Location: Trophy Nissan ,40825.0,berkshire
1221,2019 LEXUS ,missing,"$40,924",Location: Pinnacle Nissan ,25134.0,berkshire
1222,2019 Volkswagen ,missing,"$41,000",Location: Husker Chevrolet ,49081.0,berkshire
1223,2019 Toyota ,missing,"$41,137",Location: Toyota of Dallas ,9201.0,berkshire
