,year_make,model_trim,price,state,miles,source,type
117,2020 Toyota ,missing,16945,Location: Texas Toyota of Grapevine ,57652.0,berkshire,sedan
118,2020 Nissan ,missing,16996,Location: Midway Nissan ,17940.0,berkshire,sedan
119,2020 Nissan ,missing,17298,Location: Midway Nissan ,8014.0,berkshire,sedan
120,2020 Toyota ,missing,17355,Location: Texas Toyota of Grapevine ,54796.0,berkshire,sedan
121,2020 Nissan ,missing,17362,Location: Reliable Nissan ,15526.0,berkshire,sedan
122,2020 Toyota ,missing,17383,Location: Texas Toyota of Grapevine ,54962.0,berkshire,sedan
123,2020 Toyota ,missing,17397,Location: Texas Toyota of Grapevine ,52416.0,berkshire,sedan
124,2020 Toyota ,missing,17497,Location: Texas Toyota of Grapevine ,53049.0,berkshire,sedan
125,2020 Toyota ,missing,17570,Location: Texas Toyota of Grapevine ,51560.0,berkshire,sedan
126,2020 Kia ,missing,17585,Location: Camelback Kia ,13450.0,berkshire,sedan
127,2020 Toyota ,missing,17599,Location: Texas Toyota of Grapevine ,51021.0,berkshire,sedan
128,2020 Kia ,missing,17600,Location: Showcase Honda ,22519.0,berkshire,sedan
129,2020 Toyota ,missing,17611,Location: Texas Toyota of Grapevine ,50552.0,berkshire,sedan
130,2020 Toyota ,missing,17701,Location: Texas Toyota of Grapevine ,58664.0,berkshire,sedan
131,2020 Toyota ,missing,17702,Location: Texas Toyota of Grapevine ,61886.0,berkshire,sedan
132,2020 Nissan ,missing,17769,Location: South County Lexus ,30002.0,berkshire,sedan
133,2020 Toyota ,missing,17817,Location: Texas Toyota of Grapevine ,57147.0,berkshire,sedan
134,2020 Toyota ,missing,17837,Location: Texas Toyota of Grapevine ,57370.0,berkshire,sedan
135,2020 Kia ,missing,17889,Location: ABC Nissan ,27025.0,berkshire,sedan
136,2020 Toyota ,missing,17913,Location: Texas Toyota of Grapevine ,52652.0,berkshire,sedan
137,2020 Toyota ,missing,17989,Location: Texas Toyota of Grapevine ,54165.0,berkshire,sedan
138,2020 Toyota ,missing,17989,Location: Texas Toyota of Grapevine ,53234.0,berkshire,sedan
139,2020 Toyota ,missing,17989,Location: Texas Toyota of Grapevine ,53848.0,berkshire,sedan
140,2020 Toyota ,missing,17991,Location: Texas Toyota of Grapevine ,44071.0,berkshire,sedan
141,2020 Nissan ,missing,17997,Location: Reliable Nissan ,26954.0,berkshire,sedan
142,2020 Hyundai ,missing,17998,Location: Van Hyundai ,28405.0,berkshire,sedan
143,2020 Hyundai ,missing,18083,Location: Camelback Hyundai ,30764.0,berkshire,sedan
144,2020 Toyota ,missing,18488,Location: Camelback Toyota ,31833.0,berkshire,sedan
145,2020 Nissan ,missing,18588,Location: ABC Nissan ,18012.0,berkshire,sedan
146,2020 Toyota ,missing,18595,Location: Toyota of Deerfield Beach ,64523.0,berkshire,sedan
147,2020 Toyota ,missing,18597,Location: Toyota of Deerfield Beach ,30513.0,berkshire,sedan
148,2020 Toyota ,missing,18777,Location: Gwinnett Place Nissan ,46569.0,berkshire,sedan
149,2020 Volkswagen ,missing,18977,Location: Orlando VW South ,17239.0,berkshire,sedan
150,2020 Toyota ,missing,18995,Location: Toyota of Deerfield Beach ,23200.0,berkshire,sedan
151,2020 Toyota ,missing,18995,Location: Seminole Toyota ,32686.0,berkshire,sedan
152,2020 Toyota ,missing,18998,Location: Midway Nissan ,22983.0,berkshire,sedan
153,2020 Honda ,missing,19000,Location: Showcase Honda ,26692.0,berkshire,sedan
154,2020 Toyota ,missing,19200,Location: Toyota of Richardson ,34556.0,berkshire,sedan
155,2020 Hyundai ,missing,19250,Location: Honda of Fort Worth ,23634.0,berkshire,sedan
156,2020 Nissan ,missing,19498,Location: Midway Nissan ,10828.0,berkshire,sedan
157,2020 Honda ,missing,19500,Location: Showcase Honda ,29449.0,berkshire,sedan
158,2020 Hyundai ,missing,19570,Location: Texas Toyota of Grapevine ,3739.0,berkshire,sedan
159,2020 Toyota ,missing,19595,Location: Toyota of Deerfield Beach ,24491.0,berkshire,sedan
160,2020 Toyota ,missing,19643,Location: Camelback Ford ,23720.0,berkshire,sedan
161,2020 Kia ,missing,19688,Location: Reliable Nissan ,15312.0,berkshire,sedan
162,2020 Toyota ,missing,19720,Location: Toyota of Richardson ,25964.0,berkshire,sedan
163,2020 Toyota ,missing,19800,Location: Village Pointe Toyota ,19789.0,berkshire,sedan
164,2020 Toyota ,missing,19840,Location: Kenny Kent Neighborhood Store ,18973.0,berkshire,sedan
165,2020 Toyota ,missing,19887,Location: Camelback Toyota ,47070.0,berkshire,sedan
166,2020 Volkswagen ,missing,19887,Location: Van Chevrolet ,13092.0,berkshire,sedan
167,2020 Nissan ,missing,19890,Location: Vandergriff Honda ,83084.0,berkshire,sedan
168,2020 Hyundai ,missing,19900,Location: Showcase Honda ,27739.0,berkshire,sedan
169,2020 Toyota ,missing,19900,Location: Joe Myers Imports ,11051.0,berkshire,sedan
170,2020 Ford ,missing,19907,Location: Texas Toyota of Grapevine ,7769.0,berkshire,sedan
171,2020 Hyundai ,missing,19980,Location: Reliable Hyundai ,40312.0,berkshire,sedan
172,2020 Toyota ,missing,19995,Location: Toyota of Deerfield Beach ,15601.0,berkshire,sedan
173,2020 Toyota ,missing,19995,Location: Toyota of Deerfield Beach ,19594.0,berkshire,sedan
174,2020 Toyota ,missing,19997,Location: Joe Myers Toyota ,32794.0,berkshire,sedan
175,2020 Toyota ,missing,19998,Location: Camelback Toyota ,43334.0,berkshire,sedan
176,2020 Toyota ,missing,19999,Location: Grand Prairie Ford ,34433.0,berkshire,sedan
177,2020 Nissan ,missing,20218,Location: Reliable Nissan ,19414.0,berkshire,sedan
178,2020 Toyota ,missing,20220,Location: Toyota of Richardson ,13145.0,berkshire,sedan
179,2020 Toyota ,missing,20220,Location: Toyota of Richardson ,9597.0,berkshire,sedan
180,2020 Honda ,missing,20281,Location: Camelback Ford ,17283.0,berkshire,sedan
181,2020 Nissan ,missing,20368,Location: Reliable Nissan ,14563.0,berkshire,sedan
182,2020 Toyota ,missing,20390,Location: North Park Toyota of San Antonio ,18569.0,berkshire,sedan
183,2020 Kia ,missing,20400,Location: Nissan of McKinney ,41073.0,berkshire,sedan
184,2020 Toyota ,missing,20427,Location: Toyota of Richardson ,14400.0,berkshire,sedan
185,2020 Toyota ,missing,20457,Location: Toyota of Richardson ,11277.0,berkshire,sedan
186,2020 Volkswagen ,missing,20549,Location: Midway Nissan ,11492.0,berkshire,sedan
187,2020 Toyota ,missing,20574,Location: Toyota of Richardson ,448.0,berkshire,sedan
188,2020 Toyota ,missing,20750,Location: Honda of Fort Worth ,18282.0,berkshire,sedan
189,2020 Honda ,missing,20796,Location: Bell Honda ,22856.0,berkshire,sedan
190,2020 Toyota ,missing,20796,Location: Bell Honda ,48000.0,berkshire,sedan
191,2020 Chevrolet ,missing,20855,Location: Reliable Chevrolet ,30373.0,berkshire,sedan
192,2020 Nissan ,missing,20899,Location: Cerritos Nissan ,7621.0,berkshire,sedan
193,2020 Nissan ,missing,20990,Location: Vandergriff Chevrolet ,36422.0,berkshire,sedan
194,2020 Toyota ,missing,21125,Location: Toyota of Dallas ,14622.0,berkshire,sedan
