,year_make,model_trim,price,state,miles,source,type
177, 2016 Audi A6, 4dr Sdn FrontTrak 2.0T Premium ,19995,FL,66000.0,autonation,sedan
178, 2021 Audi RS 7, 4.0 TFSI quattro ,129995,FL,7000.0,autonation,sedan
179, 2014 Audi A6, 4dr Sdn quattro 2.0T Premium Plus ,13995,FL,96000.0,autonation,sedan
180, 2008 Audi A4, 4dr Sdn Man 2.0T quattro ,7995,FL,74000.0,autonation,sedan
181, 2021 Audi RS 5 Sportback, 2.9 TFSI quattro ,86995,FL,6000.0,autonation,sedan
182, 2014 Audi A4, 4dr Sdn CVT FrontTrak 2.0T Premium Plus ,19230,TX,62000.0,autonation,sedan
183, 2018 Audi A4, 2.0 TFSI Premium Plus S Tronic quattro AWD ,28591,TX,64000.0,autonation,sedan
184, 2018 Audi A3 Sedan, 2.0 TFSI Premium FWD ,24251,TX,31000.0,autonation,sedan
185, 2017 Audi A3 Sedan, 2.0 TFSI Premium Plus FWD ,22500,TX,48000.0,autonation,sedan
186, 2019 Audi A4, Prestige 40 TFSI ,37995,TX,12000.0,autonation,sedan
187, 2018 Audi A4, 2.0 TFSI ultra Premium S Tronic FWD ,26500,TX,40000.0,autonation,sedan
188, 2013 Audi A4, 4dr Sdn Auto quattro 2.0T Premium Plus ,12995,TX,109000.0,autonation,sedan
189, 2015 Audi A8 L, 4dr Sdn 3.0T ,27995,TX,85000.0,autonation,sedan
190, 2015 Audi RS 7, 4dr HB Prestige ,63995,TX,23000.0,autonation,sedan
191, 2016 Audi A7, 4dr HB quattro 3.0 Prestige ,34298,TX,86000.0,autonation,sedan
192, 2015 Audi A3, 4dr Sdn quattro 2.0T Premium Plus ,15490,TX,108000.0,autonation,sedan
193, 2015 Audi A4, 4dr Sdn Auto quattro 2.0T Premium Plus ,16647,TX,108000.0,autonation,sedan
194, 2012 Audi A7, 4dr HB quattro 3.0 Premium Plus ,20991,TX,102000.0,autonation,sedan
195, 2018 Audi A6, 2.0 TFSI Premium FWD ,32493,TX,21000.0,autonation,sedan
196, 2016 Audi A6, 4dr Sdn FrontTrak 2.0T Premium ,22493,TX,60000.0,autonation,sedan
197, 2016 Audi A6, 4dr Sdn quattro 3.0T Premium Plus ,21993,TX,107000.0,autonation,sedan
198, 2018 Audi S5 Sportback, 3.0 TFSI Prestige ,48591,TX,16000.0,autonation,sedan
199, 2021 Audi RS 5 Sportback, 2.9 TFSI quattro ,81987,TX,4000.0,autonation,sedan
200, 2016 Audi A7, 4dr HB quattro 3.0 Premium Plus ,34991,TX,68000.0,autonation,sedan
201, 2019 Audi A4, Premium Plus 45 TFSI quattro ,29383,TX,41000.0,autonation,sedan
202, 2015 Audi A6, 4dr Sdn quattro 2.0T Premium Plus ,19983,TX,71000.0,autonation,sedan
203, 2016 Audi A6, 4dr Sdn quattro 3.0T Prestige ,24983,TX,80000.0,autonation,sedan
204, 2016 Audi A6, 4dr Sdn quattro 2.0T Premium Plus ,22985,TX,82000.0,autonation,sedan
